r_shoulder_pan_joint,r_shoulder_lift_joint,r_upper_arm_roll_joint,r_elbow_flex_joint,r_forearm_roll_joint,r_wrist_flex_joint,r_wrist_roll_joint,RWrist = 6x,RWrist = 6y,RElbow = 7x,RElbow = 7y,RShoulder = 8x,RShoulder = 8y
-2.0902269414,0.1857901796,-1.3833085181,-0.4857188894,2.036907742,-1.9708923119,0.7659422863,0.712962963,0.3913043478,0.712962963,0.1358695652,0.5,0.6956521739
-0.7404214403,0.9246866842,0.1268748801,-1.5573767161,-2.5645780683,-1.0980573977,1.3936647853,0.6759259259,0.4184782609,0.6666666667,0.1793478261,0.4907407407,0.7010869565
-1.5453505982,1.2242588974,-3.2265159265,-1.7245574242,-1.0611115279,-1.0156762935,2.9702875344,0.6805555556,0.3804347826,0.6574074074,0.125,0.4722222222,0.7010869565
0.1047753803,-0.1961152996,-0.4841592406,-1.1557929895,1.9402295383,-1.0742378201,2.395189126,0.6481481481,0.347826087,0.6296296296,0.1304347826,0.4722222222,0.6956521739
-2.108082972,-0.0719898006,-2.4137711293,-0.3180349475,2.8543785776,-1.8038106105,-3.0359634422,0.6805555556,0.5923913043,0.6574074074,0.652173913,0.4861111111,0.6902173913
-0.7448450113,-0.1272668646,-1.9340002331,-2.0605415943,-2.049257635,-0.471831624,2.801663255,0.6805555556,0.6195652174,0.6759259259,0.8315217391,0.4861111111,0.7282608696
-0.2036798391,1.2526032086,-0.183181367,-0.9412923035,-1.761320642,-0.261192102,-1.0713678052,0.6759259259,0.6086956522,0.6805555556,0.8206521739,0.4814814815,0.6902173913
-2.0747887576,-0.0785034595,-2.3455024766,-1.2432156692,-0.3940452721,-1.0144275611,-1.9373753529,0.6712962963,0.6086956522,0.6759259259,0.8152173913,0.4768518519,0.6956521739
-2.1349834057,1.016547286,-2.7449553262,-0.8225267185,-2.5375951968,-1.8482199021,-2.1482966696,0.6851851852,0.6141304348,0.6851851852,0.8423913043,0.462962963,0.7282608696
-1.4518113361,0.2581422214,-2.7147083802,-1.5886726188,-2.8482269647,-0.6176198009,0.9192652047,0.6944444444,0.6141304348,0.6388888889,0.6630434783,0.4768518519,0.7173913043
-1.145725463,1.1093812582,0.3730269707,-0.2701194401,1.0986949511,-0.2931372417,-2.0651443548,0.6851851852,0.6086956522,0.6805555556,0.8315217391,0.4814814815,0.7173913043
-1.3079938477,0.1219298652,-2.8220543062,-1.2349222028,-2.7596824757,-0.2020468167,-0.4801843185,0.6805555556,0.6195652174,0.662037037,0.8260869565,0.4722222222,0.7173913043
